epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7039,1.40334,4.67629,1.52965,0.2698,0.05851,0.05798,0.04289,1.12506,4.92411,1.29381,5.328e-05,5.328e-05,5.328e-05
2,51.8326,1.41006,4.4267,1.51929,0.2698,0.05851,0.05798,0.04289,1.12506,4.92411,1.29381,0.000106626,0.000106626,0.000106626
3,78.5017,1.30986,4.07469,1.46712,0.26091,0.07544,0.06144,0.0463,1.19715,4.4699,1.35254,0.000157775,0.000157775,0.000157775
4,111.288,1.30736,4.15587,1.45159,0.26091,0.07544,0.06144,0.0463,1.19715,4.4699,1.35254,0.000206725,0.000206725,0.000206725
5,143.717,1.37972,4.20736,1.51018,0.22797,0.18355,0.09275,0.06994,1.23383,4.00174,1.38626,0.000204418,0.000204418,0.000204418
6,199.579,1.43052,3.73419,1.52493,0.22797,0.18355,0.09275,0.06994,1.23383,4.00174,1.38626,0.000200022,0.000200022,0.000200022
7,254.731,1.42497,3.79303,1.47843,0.22797,0.18355,0.09275,0.06994,1.23383,4.00174,1.38626,0.000195626,0.000195626,0.000195626
8,312.996,1.36808,3.43593,1.46123,0.18595,0.19029,0.13594,0.09884,1.22788,3.82395,1.3893,0.000191231,0.000191231,0.000191231
9,369.713,1.23856,3.46566,1.43887,0.18595,0.19029,0.13594,0.09884,1.22788,3.82395,1.3893,0.000186835,0.000186835,0.000186835
10,421.695,1.29808,3.42669,1.40073,0.18595,0.19029,0.13594,0.09884,1.22788,3.82395,1.3893,0.00018244,0.00018244,0.00018244
11,448.195,1.37312,3.16744,1.42902,0.47432,0.08465,0.14275,0.09896,1.23126,3.52331,1.40465,0.000178044,0.000178044,0.000178044
12,475.756,1.39115,3.36179,1.56376,0.47432,0.08465,0.14275,0.09896,1.23126,3.52331,1.40465,0.000173648,0.000173648,0.000173648
13,503.316,1.23286,4.57036,1.35028,0.50138,0.09145,0.11302,0.08129,1.23898,3.44298,1.38604,0.000169253,0.000169253,0.000169253
14,530.497,1.26025,2.94175,1.40955,0.50138,0.09145,0.11302,0.08129,1.23898,3.44298,1.38604,0.000164857,0.000164857,0.000164857
15,572.277,1.37653,3.12364,1.49602,0.50138,0.09145,0.11302,0.08129,1.23898,3.44298,1.38604,0.000160462,0.000160462,0.000160462
16,631.393,1.24869,3.12415,1.41615,0.68865,0.06879,0.10227,0.07299,1.21741,3.3126,1.38463,0.000156066,0.000156066,0.000156066
17,675.868,1.24267,3.13877,1.43614,0.68865,0.06879,0.10227,0.07299,1.21741,3.3126,1.38463,0.00015167,0.00015167,0.00015167
18,712.514,1.1997,2.93052,1.33843,0.13391,0.22325,0.18168,0.13924,1.2677,3.16641,1.39516,0.000147275,0.000147275,0.000147275
19,769.022,1.15541,2.92651,1.35933,0.13391,0.22325,0.18168,0.13924,1.2677,3.16641,1.39516,0.000142879,0.000142879,0.000142879
20,824.815,1.15864,2.75162,1.35061,0.13391,0.22325,0.18168,0.13924,1.2677,3.16641,1.39516,0.000138484,0.000138484,0.000138484
21,882.904,1.29135,2.72144,1.39171,0.32015,0.22961,0.2156,0.1654,1.31969,3.17731,1.41991,0.000134088,0.000134088,0.000134088
22,937.928,1.15049,2.754,1.30038,0.32015,0.22961,0.2156,0.1654,1.31969,3.17731,1.41991,0.000129692,0.000129692,0.000129692
23,984.747,1.2127,2.56397,1.31935,0.36219,0.184,0.19211,0.15074,1.28406,3.15504,1.41951,0.000125297,0.000125297,0.000125297
24,1035.37,1.30681,2.77753,1.43615,0.36219,0.184,0.19211,0.15074,1.28406,3.15504,1.41951,0.000120901,0.000120901,0.000120901
25,1088.2,1.21415,2.80473,1.44126,0.36219,0.184,0.19211,0.15074,1.28406,3.15504,1.41951,0.000116506,0.000116506,0.000116506
26,1125.71,1.09897,2.57846,1.34778,0.55048,0.20232,0.22147,0.1695,1.27757,3.04356,1.40576,0.00011211,0.00011211,0.00011211
